task,model_type,model_name,model_path,noise_type,input_variant,evaluation_scope,num_eval_samples,accuracy,macro_f1,weighted_f1
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,mixed_noise,normalized,changed_only,3135,0.5023923444976076,0.22292993630573246,0.33599488007801787
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,no_accent,noisy,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,no_accent,normalized,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,no_accent,noisy,changed_only,3162,0.502213788741303,0.22287719298245615,0.33579599853523756
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,no_accent,normalized,changed_only,3162,0.502213788741303,0.22287719298245615,0.33579599853523756
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,teencode_colloquial,noisy,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,teencode_colloquial,normalized,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,teencode_colloquial,noisy,changed_only,1541,0.4587929915639195,0.20966785290628706,0.2885824244089778
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,teencode_colloquial,normalized,changed_only,1541,0.4587929915639195,0.20966785290628706,0.2885824244089778
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,typo,noisy,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,typo,normalized,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,typo,noisy,changed_only,3074,0.5019518542615484,0.2227997978485308,0.3355043149775046
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,typo,normalized,changed_only,3074,0.5019518542615484,0.2227997978485308,0.3355043149775046
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,domain_abbreviation,noisy,full,3166,0.8749210360075805,0.7397138643941713,0.8777048702897273
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,domain_abbreviation,normalized,full,3166,0.873973468098547,0.7356297774005774,0.875436880221061
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,domain_abbreviation,noisy,changed_only,1530,0.8915032679738563,0.7270855869271702,0.8939359937498151
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,domain_abbreviation,normalized,changed_only,1530,0.8895424836601307,0.7120290090072904,0.8887797912219768
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,elongation,noisy,full,3166,0.8774478837650032,0.7432055881774954,0.8797243232411409
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,elongation,normalized,full,3166,0.873973468098547,0.7353507893242824,0.8755152646032306
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,elongation,noisy,changed_only,3164,0.877370417193426,0.7421125734448296,0.8796619519631216
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,elongation,normalized,changed_only,3164,0.8738938053097345,0.7341950442482772,0.8754457314458285
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,mixed_noise,noisy,full,3166,0.8376500315855969,0.7076236771647809,0.8457332161366603
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,mixed_noise,normalized,full,3166,0.8692356285533797,0.7317437357456643,0.8717995828966509
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,mixed_noise,noisy,changed_only,3135,0.8382775119617225,0.706695962232737,0.8464938434618172
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,mixed_noise,normalized,changed_only,3135,0.8701754385964913,0.7309352155108183,0.8727856214341425
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,no_accent,noisy,full,3166,0.46178142766898295,0.4050247166001313,0.5134117002271319
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,no_accent,normalized,full,3166,0.6443461781427668,0.532538648901574,0.6736606829640541
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,no_accent,noisy,changed_only,3162,0.46173308032890575,0.40467787719089143,0.513551547366142
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,no_accent,normalized,changed_only,3162,0.6445287792536369,0.5320831071041056,0.6739323379593658
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,teencode_colloquial,noisy,full,3166,0.8404927353126974,0.7034531007426046,0.8450108116563646
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,teencode_colloquial,normalized,full,3166,0.873973468098547,0.7353507893242824,0.8755152646032306
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,teencode_colloquial,noisy,changed_only,1541,0.8040233614536015,0.635249206072195,0.8136095686104123
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,teencode_colloquial,normalized,changed_only,1541,0.872809863724854,0.6929559645944464,0.8750395586917662
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,typo,noisy,full,3166,0.848389134554643,0.706523334207615,0.8530260373228425
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,typo,normalized,full,3166,0.8578648136449779,0.7144994600063334,0.8615757795438258
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,typo,noisy,changed_only,3074,0.8484059856864021,0.6973854769501378,0.8534928047007636
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,typo,normalized,changed_only,3074,0.8581652569941445,0.705398663211791,0.862250439236331
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,domain_abbreviation,noisy,full,3166,0.8929248262792167,0.7375839798545446,0.8883571566189808
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,domain_abbreviation,normalized,full,3166,0.8919772583701832,0.7292365992216441,0.8869208963551634
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,domain_abbreviation,noisy,changed_only,1530,0.9071895424836601,0.7214368858989979,0.9025684399836292
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,domain_abbreviation,normalized,changed_only,1530,0.9052287581699346,0.693859903923613,0.8992775952860492
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,elongation,noisy,full,3166,0.8733417561591914,0.7136063492284052,0.8703242665515497
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,elongation,normalized,full,3166,0.8919772583701832,0.7289041804941077,0.8869996271404461
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,elongation,noisy,changed_only,3164,0.8732616940581542,0.7121051952077728,0.870216601739024
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,elongation,normalized,changed_only,3164,0.8919089759797725,0.7273206543211548,0.8868855116052967
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,mixed_noise,noisy,full,3166,0.8452305748578648,0.6949618565972898,0.8460494757087983
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,mixed_noise,normalized,full,3166,0.8872394188250158,0.7243667891823958,0.882562099041817
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,mixed_noise,noisy,changed_only,3135,0.845933014354067,0.6944914158152314,0.846928410733964
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,mixed_noise,normalized,changed_only,3135,0.8883572567783095,0.7241131639968561,0.8837970153013035
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,no_accent,noisy,full,3166,0.4068224889450411,0.35968493832539833,0.4474244434998851
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,no_accent,normalized,full,3166,0.6686670878079596,0.5505132945806179,0.6928135398273708
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,no_accent,noisy,changed_only,3162,0.40670461733080326,0.35925893634967543,0.4473797809544198
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,no_accent,normalized,changed_only,3162,0.6688804554079696,0.5500182561797846,0.6929881757497904
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,teencode_colloquial,noisy,full,3166,0.8632343651295009,0.7003810711767603,0.8599880237542454
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,teencode_colloquial,normalized,full,3166,0.8919772583701832,0.7289041804941077,0.8869996271404461
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,teencode_colloquial,noisy,changed_only,1541,0.8423101881894873,0.6614037973945095,0.8444660509290247
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,teencode_colloquial,normalized,changed_only,1541,0.9013627514600908,0.7223170728766516,0.8994247214282082
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,typo,noisy,full,3166,0.873973468098547,0.7131985195746045,0.8705651499442141
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,typo,normalized,full,3166,0.8793430195830702,0.719686957860071,0.8752033694284856
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,typo,noisy,changed_only,3074,0.8757319453480806,0.7087214425842633,0.8726776914319792
sentiment,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib,typo,normalized,changed_only,3074,0.8812621990891347,0.715532942829741,0.8774316059162374
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,domain_abbreviation,noisy,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,domain_abbreviation,normalized,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,domain_abbreviation,noisy,changed_only,1530,0.6928104575163399,0.20463320463320464,0.5670880964998612
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,domain_abbreviation,normalized,changed_only,1530,0.6928104575163399,0.20463320463320464,0.5670880964998612
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,elongation,noisy,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,elongation,normalized,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,elongation,noisy,changed_only,3164,0.7237673830594185,0.20993766043270995,0.6077841243879972
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,elongation,normalized,changed_only,3164,0.7237673830594185,0.20993766043270995,0.6077841243879972
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,mixed_noise,noisy,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,mixed_noise,normalized,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,mixed_noise,noisy,changed_only,3135,0.7247208931419458,0.21009802108378028,0.6090497019487704
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,mixed_noise,normalized,changed_only,3135,0.7247208931419458,0.21009802108378028,0.6090497019487704
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,no_accent,noisy,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,no_accent,normalized,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,no_accent,noisy,changed_only,3162,0.7235926628716003,0.20990825688073395,0.6075522982202648
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,no_accent,normalized,changed_only,3162,0.7235926628716003,0.20990825688073395,0.6075522982202648
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,teencode_colloquial,noisy,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,teencode_colloquial,normalized,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,teencode_colloquial,noisy,changed_only,1541,0.7248539909149903,0.21012039127163282,0.6092264167434494
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,teencode_colloquial,normalized,changed_only,1541,0.7248539909149903,0.21012039127163282,0.6092264167434494
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,typo,noisy,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,typo,normalized,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,typo,noisy,changed_only,3074,0.7293428757319453,0.21087283671933785,0.6151944045865393
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,typo,normalized,changed_only,3074,0.7293428757319453,0.21087283671933785,0.6151944045865393
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,domain_abbreviation,noisy,full,3166,0.7902716361339229,0.6725484025617406,0.8045753436243234
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,domain_abbreviation,normalized,full,3166,0.8329121920404295,0.7300993325250893,0.8399239121433869
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,domain_abbreviation,noisy,changed_only,1530,0.7640522875816993,0.6050023732100819,0.790010002984533
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,domain_abbreviation,normalized,changed_only,1530,0.8522875816993464,0.6907580561913049,0.8561901372975952
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,elongation,noisy,full,3166,0.8262792166771952,0.7263005163541868,0.8351395535425029
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,elongation,normalized,full,3166,0.8325963360707518,0.7298992611100819,0.839645204872686
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,elongation,noisy,changed_only,3164,0.8264854614412137,0.7259122338413639,0.8354508179233836
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,elongation,normalized,changed_only,3164,0.8328065739570164,0.7295189054364615,0.839952252974344
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,mixed_noise,noisy,full,3166,0.7665824384080859,0.6512729384417743,0.7855699930113486
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,mixed_noise,normalized,full,3166,0.8111181301326595,0.706121464271626,0.8222321597475569
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,mixed_noise,noisy,changed_only,3135,0.7671451355661882,0.6501795721394815,0.7865501755536647
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,mixed_noise,normalized,changed_only,3135,0.8121212121212121,0.7056502781685502,0.8234315942170642
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,no_accent,noisy,full,3166,0.41724573594440933,0.2874747936508772,0.4831672914051297
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,no_accent,normalized,full,3166,0.5735944409349337,0.47163355281186137,0.6282965319504016
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,no_accent,noisy,changed_only,3162,0.4171410499683744,0.28693450446771795,0.4834349841227401
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,no_accent,normalized,changed_only,3162,0.5736875395319418,0.4709409877156308,0.628636189890598
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,teencode_colloquial,noisy,full,3166,0.8332280480101074,0.7291593862513348,0.8395796318884526
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,teencode_colloquial,normalized,full,3166,0.8325963360707518,0.7298992611100819,0.839645204872686
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,teencode_colloquial,noisy,changed_only,1541,0.8254380272550292,0.7192579047817451,0.833454383196938
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,teencode_colloquial,normalized,changed_only,1541,0.8241401687216093,0.7204659529821363,0.8334922466140098
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,typo,noisy,full,3166,0.7842703727100442,0.676290421820165,0.800096394628045
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,typo,normalized,full,3166,0.7874289324068224,0.6815575923395428,0.8031491558399084
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,typo,noisy,changed_only,3074,0.7849707221860768,0.6687363365402235,0.8022332501810875
topic,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib,typo,normalized,changed_only,3074,0.7882238126219909,0.6745497788736416,0.8053377217326194
topic,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_word_svm.joblib,domain_abbreviation,noisy,full,3166,0.826595072646873,0.7103478434897113,0.8317005238677558
topic,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_word_svm.joblib,domain_abbreviation,normalized,full,3166,0.8588123815540114,0.7511286137167947,0.8601258738125758
topic,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_word_svm.joblib,domain_abbreviation,noisy,changed_only,1530,0.8098039215686275,0.6531419312438239,0.8209674800993225
topic,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_word_svm.joblib,domain_abbreviation,normalized,changed_only,1530,0.8764705882352941,0.7134515904250814,0.8757586248557351
topic,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_word_svm.joblib,elongation,noisy,full,3166,0.8395451674036639,0.7265547490239282,0.8438239380097379
topic,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_word_svm.joblib,elongation,normalized,full,3166,0.8584965255843335,0.7509224329491841,0.8598470959343006
topic,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_word_svm.joblib,elongation,noisy,changed_only,3164,0.8397597977243995,0.7260344928101689,0.8441275533754395
topic,baseline,tfidf_word_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_word_svm.joblib,elongation,normalized,changed_only,3164,0.8587231352718079,0.7504327299236588,0.8601453387000196
