task,model_type,model_name,noise_type,evaluation_scope,true_label,pred_label,num_errors
sentiment,phobert,phobert_base,teencode_colloquial,full,negative,positive,45
sentiment,phobert,phobert_base,teencode_colloquial,changed_only,positive,negative,36
sentiment,phobert,phobert_base,teencode_colloquial,full,positive,neutral,33
sentiment,phobert,phobert_base,teencode_colloquial,full,neutral,negative,30
sentiment,phobert,phobert_base,teencode_colloquial,changed_only,negative,positive,29
sentiment,phobert,phobert_base,teencode_colloquial,changed_only,negative,neutral,27
sentiment,phobert,phobert_base,teencode_colloquial,changed_only,neutral,positive,17
sentiment,phobert,phobert_base,teencode_colloquial,changed_only,positive,neutral,15
sentiment,phobert,phobert_base,teencode_colloquial,changed_only,neutral,negative,13
sentiment,phobert,phobert_base,typo,full,positive,negative,72
sentiment,phobert,phobert_base,typo,changed_only,positive,negative,71
sentiment,phobert,phobert_base,typo,full,negative,positive,70
sentiment,phobert,phobert_base,typo,changed_only,negative,positive,69
sentiment,phobert,phobert_base,typo,full,negative,neutral,54
sentiment,phobert,phobert_base,typo,changed_only,negative,neutral,53
sentiment,phobert,phobert_base,typo,full,positive,neutral,43
sentiment,phobert,phobert_base,typo,changed_only,positive,neutral,41
sentiment,phobert,phobert_base,typo,full,neutral,positive,39
sentiment,phobert,phobert_base,typo,full,neutral,negative,38
sentiment,phobert,phobert_base,typo,changed_only,neutral,positive,36
sentiment,phobert,phobert_base,typo,changed_only,neutral,negative,35
sentiment,baseline,tfidf_char_svm,clean,full,positive,negative,120
sentiment,baseline,tfidf_char_svm,clean,full,negative,positive,69
sentiment,baseline,tfidf_char_svm,clean,full,negative,neutral,63
sentiment,baseline,tfidf_char_svm,clean,full,neutral,negative,53
sentiment,baseline,tfidf_char_svm,clean,full,positive,neutral,51
sentiment,baseline,tfidf_char_svm,clean,full,neutral,positive,43
sentiment,baseline,tfidf_char_svm,domain_abbreviation,full,positive,negative,120
sentiment,baseline,tfidf_char_svm,domain_abbreviation,full,negative,neutral,72
sentiment,baseline,tfidf_char_svm,domain_abbreviation,full,negative,positive,60
sentiment,baseline,tfidf_char_svm,domain_abbreviation,changed_only,positive,negative,56
sentiment,baseline,tfidf_char_svm,domain_abbreviation,full,positive,neutral,53
sentiment,baseline,tfidf_char_svm,domain_abbreviation,full,neutral,negative,50
sentiment,baseline,tfidf_char_svm,domain_abbreviation,full,neutral,positive,41
sentiment,baseline,tfidf_char_svm,domain_abbreviation,changed_only,negative,neutral,32
sentiment,baseline,tfidf_char_svm,domain_abbreviation,changed_only,negative,positive,29
sentiment,baseline,tfidf_char_svm,domain_abbreviation,changed_only,neutral,negative,19
sentiment,baseline,tfidf_char_svm,domain_abbreviation,changed_only,neutral,positive,15
sentiment,baseline,tfidf_char_svm,domain_abbreviation,changed_only,positive,neutral,15
sentiment,baseline,tfidf_char_svm,elongation,changed_only,positive,negative,117
sentiment,baseline,tfidf_char_svm,elongation,full,positive,negative,117
sentiment,baseline,tfidf_char_svm,elongation,changed_only,negative,neutral,66
sentiment,baseline,tfidf_char_svm,elongation,full,negative,neutral,66
sentiment,baseline,tfidf_char_svm,elongation,changed_only,negative,positive,61
sentiment,baseline,tfidf_char_svm,elongation,full,negative,positive,61
sentiment,baseline,tfidf_char_svm,elongation,changed_only,positive,neutral,53
sentiment,baseline,tfidf_char_svm,elongation,full,positive,neutral,53
sentiment,baseline,tfidf_char_svm,elongation,changed_only,neutral,negative,50
sentiment,baseline,tfidf_char_svm,elongation,full,neutral,negative,50
sentiment,baseline,tfidf_char_svm,elongation,changed_only,neutral,positive,41
sentiment,baseline,tfidf_char_svm,elongation,full,neutral,positive,41
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,negative,positive,122
sentiment,baseline,tfidf_char_svm,mixed_noise,full,negative,positive,122
sentiment,baseline,tfidf_char_svm,mixed_noise,full,positive,negative,120
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,positive,negative,119
sentiment,baseline,tfidf_char_svm,mixed_noise,full,negative,neutral,115
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,negative,neutral,114
sentiment,baseline,tfidf_char_svm,mixed_noise,full,positive,neutral,74
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,positive,neutral,72
sentiment,baseline,tfidf_char_svm,mixed_noise,full,neutral,negative,46
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,neutral,negative,45
sentiment,baseline,tfidf_char_svm,mixed_noise,full,neutral,positive,37
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,neutral,positive,35
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,positive,neutral,471
sentiment,baseline,tfidf_char_svm,no_accent,full,positive,neutral,471
sentiment,baseline,tfidf_char_svm,no_accent,full,negative,neutral,453
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,negative,neutral,452
sentiment,baseline,tfidf_char_svm,no_accent,full,positive,negative,395
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,positive,negative,394
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,negative,positive,306
sentiment,baseline,tfidf_char_svm,no_accent,full,negative,positive,306
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,neutral,negative,47
sentiment,baseline,tfidf_char_svm,no_accent,full,neutral,negative,47
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,neutral,positive,32
sentiment,baseline,tfidf_char_svm,no_accent,full,neutral,positive,32
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,negative,positive,146
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,negative,positive,116
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,positive,negative,110
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,negative,neutral,98
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,negative,neutral,69
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,positive,negative,62
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,positive,neutral,57
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,neutral,negative,51
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,neutral,positive,43
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,neutral,negative,21
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,positive,neutral,20
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,neutral,positive,14
sentiment,baseline,tfidf_char_svm,typo,full,positive,negative,134
sentiment,baseline,tfidf_char_svm,typo,changed_only,positive,negative,133
sentiment,baseline,tfidf_char_svm,typo,changed_only,negative,positive,97
sentiment,baseline,tfidf_char_svm,typo,full,negative,positive,97
sentiment,baseline,tfidf_char_svm,typo,full,negative,neutral,84
sentiment,baseline,tfidf_char_svm,typo,changed_only,negative,neutral,82
sentiment,baseline,tfidf_char_svm,typo,full,positive,neutral,68
sentiment,baseline,tfidf_char_svm,typo,changed_only,positive,neutral,64
sentiment,baseline,tfidf_char_svm,typo,full,neutral,negative,55
sentiment,baseline,tfidf_char_svm,typo,changed_only,neutral,negative,51
sentiment,baseline,tfidf_char_svm,typo,full,neutral,positive,42
sentiment,baseline,tfidf_char_svm,typo,changed_only,neutral,positive,39
sentiment,baseline,tfidf_word_svm,clean,full,positive,negative,115
sentiment,baseline,tfidf_word_svm,clean,full,neutral,negative,63
sentiment,baseline,tfidf_word_svm,clean,full,neutral,positive,55
sentiment,baseline,tfidf_word_svm,clean,full,negative,positive,48
sentiment,baseline,tfidf_word_svm,clean,full,positive,neutral,32
sentiment,baseline,tfidf_word_svm,clean,full,negative,neutral,29
sentiment,baseline,tfidf_word_svm,domain_abbreviation,full,positive,negative,114
sentiment,baseline,tfidf_word_svm,domain_abbreviation,full,neutral,negative,62
sentiment,baseline,tfidf_word_svm,domain_abbreviation,changed_only,positive,negative,55
sentiment,baseline,tfidf_word_svm,domain_abbreviation,full,negative,positive,52
sentiment,baseline,tfidf_word_svm,domain_abbreviation,full,neutral,positive,52
sentiment,baseline,tfidf_word_svm,domain_abbreviation,full,positive,neutral,31
sentiment,baseline,tfidf_word_svm,domain_abbreviation,full,negative,neutral,28
sentiment,baseline,tfidf_word_svm,domain_abbreviation,changed_only,negative,positive,26
sentiment,baseline,tfidf_word_svm,domain_abbreviation,changed_only,neutral,negative,24
sentiment,baseline,tfidf_word_svm,domain_abbreviation,changed_only,neutral,positive,18
sentiment,baseline,tfidf_word_svm,domain_abbreviation,changed_only,negative,neutral,10
sentiment,baseline,tfidf_word_svm,domain_abbreviation,changed_only,positive,neutral,9
sentiment,baseline,tfidf_word_svm,elongation,changed_only,positive,negative,131
sentiment,baseline,tfidf_word_svm,elongation,full,positive,negative,131
sentiment,baseline,tfidf_word_svm,elongation,changed_only,negative,positive,74
sentiment,baseline,tfidf_word_svm,elongation,full,negative,positive,74
sentiment,baseline,tfidf_word_svm,elongation,changed_only,neutral,negative,66
sentiment,baseline,tfidf_word_svm,elongation,full,neutral,negative,66
sentiment,baseline,tfidf_word_svm,elongation,changed_only,neutral,positive,50
sentiment,baseline,tfidf_word_svm,elongation,full,neutral,positive,50
sentiment,baseline,tfidf_word_svm,elongation,changed_only,negative,neutral,43
sentiment,baseline,tfidf_word_svm,elongation,full,negative,neutral,43
sentiment,baseline,tfidf_word_svm,elongation,changed_only,positive,neutral,37
sentiment,baseline,tfidf_word_svm,elongation,full,positive,neutral,37
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,negative,positive,138
sentiment,baseline,tfidf_word_svm,mixed_noise,full,negative,positive,138
sentiment,baseline,tfidf_word_svm,mixed_noise,full,positive,negative,124
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,positive,negative,123
sentiment,baseline,tfidf_word_svm,mixed_noise,full,positive,neutral,60
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,negative,neutral,59
sentiment,baseline,tfidf_word_svm,mixed_noise,full,negative,neutral,59
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,positive,neutral,58
sentiment,baseline,tfidf_word_svm,mixed_noise,full,neutral,negative,58
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,neutral,negative,56
sentiment,baseline,tfidf_word_svm,mixed_noise,full,neutral,positive,51
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,neutral,positive,49
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,positive,negative,610
sentiment,baseline,tfidf_word_svm,no_accent,full,positive,negative,610
sentiment,baseline,tfidf_word_svm,no_accent,full,negative,neutral,494
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,negative,neutral,493
sentiment,baseline,tfidf_word_svm,no_accent,full,positive,neutral,482
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,positive,neutral,481
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,negative,positive,215
sentiment,baseline,tfidf_word_svm,no_accent,full,negative,positive,215
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,neutral,negative,53
sentiment,baseline,tfidf_word_svm,no_accent,full,neutral,negative,53
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,neutral,positive,24
sentiment,baseline,tfidf_word_svm,no_accent,full,neutral,positive,24
sentiment,baseline,tfidf_word_svm,teencode_colloquial,full,negative,positive,119
sentiment,baseline,tfidf_word_svm,teencode_colloquial,full,positive,negative,112
sentiment,baseline,tfidf_word_svm,teencode_colloquial,changed_only,negative,positive,92
sentiment,baseline,tfidf_word_svm,teencode_colloquial,changed_only,positive,negative,62
sentiment,baseline,tfidf_word_svm,teencode_colloquial,full,neutral,positive,60
sentiment,baseline,tfidf_word_svm,teencode_colloquial,full,neutral,negative,59
sentiment,baseline,tfidf_word_svm,teencode_colloquial,full,negative,neutral,43
sentiment,baseline,tfidf_word_svm,teencode_colloquial,full,positive,neutral,40
sentiment,baseline,tfidf_word_svm,teencode_colloquial,changed_only,negative,neutral,31
sentiment,baseline,tfidf_word_svm,teencode_colloquial,changed_only,neutral,negative,21
sentiment,baseline,tfidf_word_svm,teencode_colloquial,changed_only,positive,neutral,19
sentiment,baseline,tfidf_word_svm,teencode_colloquial,changed_only,neutral,positive,18
sentiment,baseline,tfidf_word_svm,typo,full,positive,negative,129
sentiment,baseline,tfidf_word_svm,typo,changed_only,positive,negative,128
sentiment,baseline,tfidf_word_svm,typo,changed_only,negative,positive,76
sentiment,baseline,tfidf_word_svm,typo,full,negative,positive,76
sentiment,baseline,tfidf_word_svm,typo,full,neutral,negative,68
sentiment,baseline,tfidf_word_svm,typo,changed_only,neutral,negative,62
sentiment,baseline,tfidf_word_svm,typo,full,neutral,positive,49
sentiment,baseline,tfidf_word_svm,typo,changed_only,neutral,positive,44
sentiment,baseline,tfidf_word_svm,typo,full,positive,neutral,41
sentiment,baseline,tfidf_word_svm,typo,changed_only,positive,neutral,37
sentiment,baseline,tfidf_word_svm,typo,full,negative,neutral,36
sentiment,baseline,tfidf_word_svm,typo,changed_only,negative,neutral,35
topic,baseline,majority_class,clean,full,training_program,lecturer,572
topic,baseline,majority_class,clean,full,others,lecturer,159
topic,baseline,majority_class,clean,full,facility,lecturer,145
topic,baseline,majority_class,domain_abbreviation,full,training_program,lecturer,572
topic,baseline,majority_class,domain_abbreviation,changed_only,training_program,lecturer,351
topic,baseline,majority_class,domain_abbreviation,full,others,lecturer,159
topic,baseline,majority_class,domain_abbreviation,full,facility,lecturer,145
topic,baseline,majority_class,domain_abbreviation,changed_only,facility,lecturer,91
topic,baseline,majority_class,domain_abbreviation,changed_only,others,lecturer,28
topic,baseline,majority_class,elongation,changed_only,training_program,lecturer,572
topic,baseline,majority_class,elongation,full,training_program,lecturer,572
topic,baseline,majority_class,elongation,full,others,lecturer,159
topic,baseline,majority_class,elongation,changed_only,others,lecturer,157
topic,baseline,majority_class,elongation,changed_only,facility,lecturer,145
topic,baseline,majority_class,elongation,full,facility,lecturer,145
topic,baseline,majority_class,mixed_noise,full,training_program,lecturer,572
topic,baseline,majority_class,mixed_noise,changed_only,training_program,lecturer,568
topic,baseline,majority_class,mixed_noise,full,others,lecturer,159
topic,baseline,majority_class,mixed_noise,changed_only,others,lecturer,150
topic,baseline,majority_class,mixed_noise,changed_only,facility,lecturer,145
topic,baseline,majority_class,mixed_noise,full,facility,lecturer,145
topic,baseline,majority_class,no_accent,changed_only,training_program,lecturer,572
topic,baseline,majority_class,no_accent,full,training_program,lecturer,572
topic,baseline,majority_class,no_accent,full,others,lecturer,159
topic,baseline,majority_class,no_accent,changed_only,others,lecturer,157
topic,baseline,majority_class,no_accent,changed_only,facility,lecturer,145
topic,baseline,majority_class,no_accent,full,facility,lecturer,145
topic,baseline,majority_class,teencode_colloquial,full,training_program,lecturer,572
topic,baseline,majority_class,teencode_colloquial,changed_only,training_program,lecturer,291
topic,baseline,majority_class,teencode_colloquial,full,others,lecturer,159
topic,baseline,majority_class,teencode_colloquial,full,facility,lecturer,145
topic,baseline,majority_class,teencode_colloquial,changed_only,others,lecturer,69
topic,baseline,majority_class,teencode_colloquial,changed_only,facility,lecturer,64
topic,baseline,majority_class,typo,full,training_program,lecturer,572
topic,baseline,majority_class,typo,changed_only,training_program,lecturer,554
topic,baseline,majority_class,typo,full,others,lecturer,159
topic,baseline,majority_class,typo,changed_only,facility,lecturer,145
topic,baseline,majority_class,typo,full,facility,lecturer,145
topic,baseline,majority_class,typo,changed_only,others,lecturer,133
topic,phobert,phobert_base,clean,full,lecturer,training_program,91
topic,phobert,phobert_base,clean,full,training_program,lecturer,90
topic,phobert,phobert_base,clean,full,others,lecturer,43
topic,phobert,phobert_base,clean,full,others,training_program,38
topic,phobert,phobert_base,clean,full,lecturer,others,19
topic,phobert,phobert_base,clean,full,training_program,others,15
topic,phobert,phobert_base,clean,full,facility,lecturer,6
topic,phobert,phobert_base,clean,full,training_program,facility,6
topic,phobert,phobert_base,clean,full,lecturer,facility,5
topic,phobert,phobert_base,clean,full,facility,training_program,3
topic,phobert,phobert_base,clean,full,others,facility,2
topic,phobert,phobert_base,clean,full,facility,others,1
topic,phobert,phobert_base,domain_abbreviation,full,lecturer,training_program,147
topic,phobert,phobert_base,domain_abbreviation,full,training_program,lecturer,136
topic,phobert,phobert_base,domain_abbreviation,changed_only,lecturer,training_program,106
topic,phobert,phobert_base,domain_abbreviation,changed_only,training_program,lecturer,94
topic,phobert,phobert_base,domain_abbreviation,full,others,lecturer,45
topic,phobert,phobert_base,domain_abbreviation,full,lecturer,others,39
topic,phobert,phobert_base,domain_abbreviation,full,others,training_program,35
topic,phobert,phobert_base,domain_abbreviation,full,training_program,others,30
topic,phobert,phobert_base,domain_abbreviation,changed_only,lecturer,others,22
topic,phobert,phobert_base,domain_abbreviation,changed_only,training_program,others,18
topic,phobert,phobert_base,domain_abbreviation,changed_only,others,lecturer,15
topic,phobert,phobert_base,domain_abbreviation,full,facility,lecturer,10
topic,phobert,phobert_base,domain_abbreviation,full,lecturer,facility,9
topic,phobert,phobert_base,domain_abbreviation,changed_only,others,training_program,8
topic,phobert,phobert_base,domain_abbreviation,changed_only,lecturer,facility,7
topic,phobert,phobert_base,domain_abbreviation,full,facility,others,7
topic,phobert,phobert_base,domain_abbreviation,changed_only,facility,others,6
topic,phobert,phobert_base,domain_abbreviation,changed_only,facility,lecturer,5
topic,phobert,phobert_base,domain_abbreviation,full,facility,training_program,5
topic,phobert,phobert_base,domain_abbreviation,full,training_program,facility,5
topic,phobert,phobert_base,domain_abbreviation,changed_only,facility,training_program,4
topic,phobert,phobert_base,domain_abbreviation,changed_only,training_program,facility,3
topic,phobert,phobert_base,domain_abbreviation,full,others,facility,2
topic,phobert,phobert_base,elongation,changed_only,lecturer,training_program,102
topic,phobert,phobert_base,elongation,full,lecturer,training_program,102
topic,phobert,phobert_base,elongation,changed_only,training_program,lecturer,92
topic,phobert,phobert_base,elongation,full,training_program,lecturer,92
topic,phobert,phobert_base,elongation,changed_only,others,lecturer,49
topic,phobert,phobert_base,elongation,full,others,lecturer,49
topic,phobert,phobert_base,elongation,changed_only,others,training_program,38
topic,phobert,phobert_base,elongation,full,others,training_program,38
topic,phobert,phobert_base,elongation,changed_only,lecturer,others,30
topic,phobert,phobert_base,elongation,full,lecturer,others,30
topic,phobert,phobert_base,elongation,changed_only,training_program,others,26
topic,phobert,phobert_base,elongation,full,training_program,others,26
topic,phobert,phobert_base,elongation,changed_only,training_program,facility,7
topic,phobert,phobert_base,elongation,full,training_program,facility,7
topic,phobert,phobert_base,elongation,changed_only,facility,lecturer,5
topic,phobert,phobert_base,elongation,changed_only,facility,training_program,5
topic,phobert,phobert_base,elongation,full,facility,lecturer,5
topic,phobert,phobert_base,elongation,full,facility,training_program,5
topic,phobert,phobert_base,elongation,changed_only,lecturer,facility,4
topic,phobert,phobert_base,elongation,full,lecturer,facility,4
topic,phobert,phobert_base,elongation,changed_only,others,facility,2
topic,phobert,phobert_base,elongation,full,others,facility,2
topic,phobert,phobert_base,mixed_noise,changed_only,lecturer,training_program,177
topic,phobert,phobert_base,mixed_noise,full,lecturer,training_program,177
topic,phobert,phobert_base,mixed_noise,full,training_program,lecturer,148
topic,phobert,phobert_base,mixed_noise,changed_only,training_program,lecturer,146
topic,phobert,phobert_base,mixed_noise,full,lecturer,others,70
topic,phobert,phobert_base,mixed_noise,changed_only,lecturer,others,69
topic,phobert,phobert_base,mixed_noise,full,others,lecturer,49
topic,phobert,phobert_base,mixed_noise,changed_only,others,lecturer,46
topic,phobert,phobert_base,mixed_noise,changed_only,training_program,others,40
topic,phobert,phobert_base,mixed_noise,full,training_program,others,40
topic,phobert,phobert_base,mixed_noise,full,others,training_program,30
topic,phobert,phobert_base,mixed_noise,changed_only,others,training_program,29
topic,phobert,phobert_base,mixed_noise,changed_only,facility,lecturer,11
topic,phobert,phobert_base,mixed_noise,full,facility,lecturer,11
topic,phobert,phobert_base,mixed_noise,changed_only,facility,training_program,8
topic,phobert,phobert_base,mixed_noise,changed_only,lecturer,facility,8
topic,phobert,phobert_base,mixed_noise,changed_only,training_program,facility,8
topic,phobert,phobert_base,mixed_noise,full,facility,training_program,8
topic,phobert,phobert_base,mixed_noise,full,lecturer,facility,8
topic,phobert,phobert_base,mixed_noise,full,training_program,facility,8
topic,phobert,phobert_base,mixed_noise,changed_only,facility,others,5
topic,phobert,phobert_base,mixed_noise,full,facility,others,5
topic,phobert,phobert_base,mixed_noise,changed_only,others,facility,2
topic,phobert,phobert_base,mixed_noise,full,others,facility,2
topic,phobert,phobert_base,no_accent,full,lecturer,others,715
topic,phobert,phobert_base,no_accent,changed_only,lecturer,others,714
topic,phobert,phobert_base,no_accent,changed_only,training_program,others,284
topic,phobert,phobert_base,no_accent,full,training_program,others,284
topic,phobert,phobert_base,no_accent,changed_only,training_program,lecturer,256
topic,phobert,phobert_base,no_accent,full,training_program,lecturer,256
topic,phobert,phobert_base,no_accent,changed_only,lecturer,training_program,205
topic,phobert,phobert_base,no_accent,full,lecturer,training_program,205
topic,phobert,phobert_base,no_accent,changed_only,facility,lecturer,80
topic,phobert,phobert_base,no_accent,full,facility,lecturer,80
topic,phobert,phobert_base,no_accent,changed_only,others,lecturer,55
topic,phobert,phobert_base,no_accent,full,others,lecturer,55
topic,phobert,phobert_base,no_accent,changed_only,facility,others,49
topic,phobert,phobert_base,no_accent,full,facility,others,49
topic,phobert,phobert_base,no_accent,changed_only,lecturer,facility,22
topic,phobert,phobert_base,no_accent,full,lecturer,facility,22
topic,phobert,phobert_base,no_accent,changed_only,facility,training_program,2
topic,phobert,phobert_base,no_accent,changed_only,others,training_program,2
topic,phobert,phobert_base,no_accent,changed_only,training_program,facility,2
topic,phobert,phobert_base,no_accent,full,facility,training_program,2
topic,phobert,phobert_base,no_accent,full,others,training_program,2
topic,phobert,phobert_base,no_accent,full,training_program,facility,2
topic,phobert,phobert_base,teencode_colloquial,full,training_program,lecturer,93
topic,phobert,phobert_base,teencode_colloquial,full,lecturer,training_program,87
topic,phobert,phobert_base,teencode_colloquial,changed_only,lecturer,training_program,47
topic,phobert,phobert_base,teencode_colloquial,full,others,lecturer,47
topic,phobert,phobert_base,teencode_colloquial,changed_only,training_program,lecturer,44
topic,phobert,phobert_base,teencode_colloquial,full,others,training_program,40
topic,phobert,phobert_base,teencode_colloquial,full,lecturer,others,21
topic,phobert,phobert_base,teencode_colloquial,changed_only,others,lecturer,19
