task,model_type,model_name,noise_type,evaluation_scope,noisy_macro_f1,normalized_macro_f1,macro_f1_improvement,noisy_accuracy,normalized_accuracy,accuracy_improvement,num_eval_samples
sentiment,baseline,tfidf_word_svm,typo,full,0.7131985195746045,0.719686957860071,0.006488438285466525,0.873973468098547,0.8793430195830702,0.005369551484523116,3166
sentiment,baseline,tfidf_word_svm,typo,changed_only,0.7087214425842633,0.715532942829741,0.00681150024547772,0.8757319453480806,0.8812621990891347,0.005530253741054092,3074
topic,baseline,majority_class,domain_abbreviation,full,0.20986070381231672,0.20986070381231672,0.0,0.7233101705622236,0.7233101705622236,0.0,3166
topic,baseline,majority_class,domain_abbreviation,changed_only,0.20463320463320464,0.20463320463320464,0.0,0.6928104575163399,0.6928104575163399,0.0,1530
topic,baseline,majority_class,elongation,full,0.20986070381231672,0.20986070381231672,0.0,0.7233101705622236,0.7233101705622236,0.0,3166
topic,baseline,majority_class,elongation,changed_only,0.20993766043270995,0.20993766043270995,0.0,0.7237673830594185,0.7237673830594185,0.0,3164
topic,baseline,majority_class,mixed_noise,full,0.20986070381231672,0.20986070381231672,0.0,0.7233101705622236,0.7233101705622236,0.0,3166
topic,baseline,majority_class,mixed_noise,changed_only,0.21009802108378028,0.21009802108378028,0.0,0.7247208931419458,0.7247208931419458,0.0,3135
topic,baseline,majority_class,no_accent,full,0.20986070381231672,0.20986070381231672,0.0,0.7233101705622236,0.7233101705622236,0.0,3166
topic,baseline,majority_class,no_accent,changed_only,0.20990825688073395,0.20990825688073395,0.0,0.7235926628716003,0.7235926628716003,0.0,3162
topic,baseline,majority_class,teencode_colloquial,full,0.20986070381231672,0.20986070381231672,0.0,0.7233101705622236,0.7233101705622236,0.0,3166
topic,baseline,majority_class,teencode_colloquial,changed_only,0.21012039127163282,0.21012039127163282,0.0,0.7248539909149903,0.7248539909149903,0.0,1541
topic,baseline,majority_class,typo,full,0.20986070381231672,0.20986070381231672,0.0,0.7233101705622236,0.7233101705622236,0.0,3166
topic,baseline,majority_class,typo,changed_only,0.21087283671933785,0.21087283671933785,0.0,0.7293428757319453,0.7293428757319453,0.0,3074
topic,baseline,tfidf_char_svm,domain_abbreviation,full,0.6725484025617406,0.7300993325250893,0.05755092996334865,0.7902716361339229,0.8329121920404295,0.042640555906506616,3166
topic,baseline,tfidf_char_svm,domain_abbreviation,changed_only,0.6050023732100819,0.6907580561913049,0.08575568298122305,0.7640522875816993,0.8522875816993464,0.08823529411764708,1530
topic,baseline,tfidf_char_svm,elongation,full,0.7263005163541868,0.7298992611100819,0.003598744755895056,0.8262792166771952,0.8325963360707518,0.006317119393556614,3166
topic,baseline,tfidf_char_svm,elongation,changed_only,0.7259122338413639,0.7295189054364615,0.0036066715950975325,0.8264854614412137,0.8328065739570164,0.006321112515802696,3164
topic,baseline,tfidf_char_svm,mixed_noise,full,0.6512729384417743,0.706121464271626,0.05484852582985178,0.7665824384080859,0.8111181301326595,0.04453569172457361,3166
topic,baseline,tfidf_char_svm,mixed_noise,changed_only,0.6501795721394815,0.7056502781685502,0.05547070602906867,0.7671451355661882,0.8121212121212121,0.04497607655502389,3135
topic,baseline,tfidf_char_svm,no_accent,full,0.2874747936508772,0.47163355281186137,0.18415875916098418,0.41724573594440933,0.5735944409349337,0.1563487049905244,3166
topic,baseline,tfidf_char_svm,no_accent,changed_only,0.28693450446771795,0.4709409877156308,0.18400648324791286,0.4171410499683744,0.5736875395319418,0.15654648956356743,3162
topic,baseline,tfidf_char_svm,teencode_colloquial,full,0.7291593862513348,0.7298992611100819,0.0007398748587470472,0.8332280480101074,0.8325963360707518,-0.0006317119393556281,3166
topic,baseline,tfidf_char_svm,teencode_colloquial,changed_only,0.7192579047817451,0.7204659529821363,0.0012080482003912207,0.8254380272550292,0.8241401687216093,-0.0012978585334199044,1541
topic,baseline,tfidf_char_svm,typo,full,0.676290421820165,0.6815575923395428,0.005267170519377862,0.7842703727100442,0.7874289324068224,0.0031585596967782514,3166
topic,baseline,tfidf_char_svm,typo,changed_only,0.6687363365402235,0.6745497788736416,0.005813442333418184,0.7849707221860768,0.7882238126219909,0.003253090435914152,3074
topic,baseline,tfidf_word_svm,domain_abbreviation,full,0.7103478434897113,0.7511286137167947,0.040780770227083485,0.826595072646873,0.8588123815540114,0.032217308907138364,3166
topic,baseline,tfidf_word_svm,domain_abbreviation,changed_only,0.6531419312438239,0.7134515904250814,0.060309659181257524,0.8098039215686275,0.8764705882352941,0.06666666666666665,1530
topic,baseline,tfidf_word_svm,elongation,full,0.7265547490239282,0.7509224329491841,0.0243676839252559,0.8395451674036639,0.8584965255843335,0.01895135818066962,3166
topic,baseline,tfidf_word_svm,elongation,changed_only,0.7260344928101689,0.7504327299236588,0.024398237113489984,0.8397597977243995,0.8587231352718079,0.01896333754740842,3164
topic,baseline,tfidf_word_svm,mixed_noise,full,0.6814335966129226,0.7314530461712001,0.05001944955827753,0.7994314592545799,0.8471257106759318,0.04769425142135186,3166
topic,baseline,tfidf_word_svm,mixed_noise,changed_only,0.6802558403369654,0.7305850852876085,0.05032924495064306,0.7996810207336523,0.8478468899521531,0.048165869218500745,3135
topic,baseline,tfidf_word_svm,no_accent,full,0.2613589496179329,0.48998774904033765,0.22862879942240477,0.3297536323436513,0.5824384080859129,0.25268477574226156,3166
topic,baseline,tfidf_word_svm,no_accent,changed_only,0.2608501226606441,0.48917002130979165,0.22831989864914753,0.32922201138519924,0.5822264389626819,0.25300442757748265,3162
topic,baseline,tfidf_word_svm,teencode_colloquial,full,0.7538346325281163,0.7509224329491841,-0.002912199578932184,0.8600758054327227,0.8584965255843335,-0.0015792798483891257,3166
topic,baseline,tfidf_word_svm,teencode_colloquial,changed_only,0.7589946316862335,0.7520381663140483,-0.006956465372185194,0.8572355613238157,0.853990914990266,-0.0032446463335497056,1541
topic,baseline,tfidf_word_svm,typo,full,0.7166286523540413,0.7207702113004695,0.004141558946428203,0.8291219204042957,0.8307012002526848,0.0015792798483891257,3166
topic,baseline,tfidf_word_svm,typo,changed_only,0.7124039636350199,0.7168708990735255,0.004466935438505626,0.8311646063760573,0.8327911515940143,0.0016265452179570206,3074
