task,model_type,model_name,noise_type,evaluation_scope,num_samples,num_errors,accuracy,mean_changed_token_ratio,error_rate
sentiment,baseline,tfidf_word_svm,mixed_noise,full,3166,490,0.8452305748578648,0.2088663955951331,0.1547694251421352
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,3162,1876,0.40670461733080326,0.7592230860280245,0.5932953826691967
sentiment,baseline,tfidf_word_svm,no_accent,full,3166,1878,0.4068224889450411,0.7582638654518677,0.5931775110549589
sentiment,baseline,tfidf_word_svm,teencode_colloquial,changed_only,1541,243,0.8423101881894873,0.09938137771260105,0.15768981181051267
sentiment,baseline,tfidf_word_svm,teencode_colloquial,full,3166,433,0.8632343651295009,0.048372300396436585,0.1367656348704991
sentiment,baseline,tfidf_word_svm,typo,changed_only,3074,382,0.8757319453480806,0.09844608489585625,0.12426805465191937
sentiment,baseline,tfidf_word_svm,typo,full,3166,399,0.873973468098547,0.09558536480412576,0.12602653190145297
sentiment,phobert,phobert_base,clean,full,3166,214,0.932406822488945,0.0,0.06759317751105498
sentiment,phobert,phobert_base,domain_abbreviation,changed_only,1530,103,0.9326797385620915,0.18670472301151547,0.06732026143790848
sentiment,phobert,phobert_base,domain_abbreviation,full,3166,228,0.9279848389134555,0.09022685603525542,0.07201516108654449
sentiment,phobert,phobert_base,elongation,changed_only,3164,259,0.918141592920354,0.10192765319080022,0.08185840707964598
sentiment,phobert,phobert_base,elongation,full,3166,259,0.9181933038534428,0.10186326427532909,0.08180669614655722
sentiment,phobert,phobert_base,mixed_noise,changed_only,3135,339,0.8918660287081339,0.21093174113371335,0.10813397129186608
sentiment,phobert,phobert_base,mixed_noise,full,3166,343,0.8916614024005054,0.2088663955951331,0.1083385975994946
sentiment,phobert,phobert_base,no_accent,changed_only,3162,2028,0.3586337760910816,0.7592230860280245,0.6413662239089184
sentiment,phobert,phobert_base,no_accent,full,3166,2030,0.35881238155401135,0.7582638654518677,0.6411876184459886
sentiment,phobert,phobert_base,teencode_colloquial,changed_only,1541,137,0.9110966904607398,0.09938137771260105,0.08890330953926018
sentiment,phobert,phobert_base,teencode_colloquial,full,3166,259,0.9181933038534428,0.048372300396436585,0.08180669614655722
sentiment,phobert,phobert_base,typo,changed_only,3074,305,0.9007807417046194,0.09844608489585625,0.09921925829538059
sentiment,phobert,phobert_base,typo,full,3166,316,0.9001895135818067,0.09558536480412576,0.09981048641819334
topic,baseline,majority_class,clean,full,3166,876,0.7233101705622236,0.0,0.2766898294377764
topic,baseline,majority_class,domain_abbreviation,changed_only,1530,470,0.6928104575163399,0.18670472301151547,0.30718954248366015
topic,baseline,majority_class,domain_abbreviation,full,3166,876,0.7233101705622236,0.09022685603525542,0.2766898294377764
topic,baseline,majority_class,elongation,changed_only,3164,874,0.7237673830594185,0.10192765319080022,0.27623261694058154
topic,baseline,majority_class,elongation,full,3166,876,0.7233101705622236,0.10186326427532909,0.2766898294377764
topic,baseline,majority_class,mixed_noise,changed_only,3135,863,0.7247208931419458,0.21093174113371335,0.27527910685805423
topic,baseline,majority_class,mixed_noise,full,3166,876,0.7233101705622236,0.2088663955951331,0.2766898294377764
topic,baseline,majority_class,no_accent,changed_only,3162,874,0.7235926628716003,0.7592230860280245,0.2764073371283997
topic,baseline,majority_class,no_accent,full,3166,876,0.7233101705622236,0.7582638654518677,0.2766898294377764
topic,baseline,majority_class,teencode_colloquial,changed_only,1541,424,0.7248539909149903,0.09938137771260105,0.27514600908500975
topic,baseline,majority_class,teencode_colloquial,full,3166,876,0.7233101705622236,0.048372300396436585,0.2766898294377764
topic,baseline,majority_class,typo,changed_only,3074,832,0.7293428757319453,0.09844608489585625,0.27065712426805466
topic,baseline,majority_class,typo,full,3166,876,0.7233101705622236,0.09558536480412576,0.2766898294377764
topic,baseline,tfidf_char_svm,clean,full,3166,530,0.8325963360707518,0.0,0.16740366392924821
topic,baseline,tfidf_char_svm,domain_abbreviation,changed_only,1530,361,0.7640522875816993,0.18670472301151547,0.2359477124183007
topic,baseline,tfidf_char_svm,domain_abbreviation,full,3166,664,0.7902716361339229,0.09022685603525542,0.20972836386607707
topic,baseline,tfidf_char_svm,elongation,changed_only,3164,549,0.8264854614412137,0.10192765319080022,0.1735145385587863
topic,baseline,tfidf_char_svm,elongation,full,3166,550,0.8262792166771952,0.10186326427532909,0.17372078332280483
topic,baseline,tfidf_char_svm,mixed_noise,changed_only,3135,730,0.7671451355661882,0.21093174113371335,0.23285486443381176
topic,baseline,tfidf_char_svm,mixed_noise,full,3166,739,0.7665824384080859,0.2088663955951331,0.23341756159191407
topic,baseline,tfidf_char_svm,no_accent,changed_only,3162,1843,0.4171410499683744,0.7592230860280245,0.5828589500316256
topic,baseline,tfidf_char_svm,no_accent,full,3166,1845,0.41724573594440933,0.7582638654518677,0.5827542640555907
topic,baseline,tfidf_char_svm,teencode_colloquial,changed_only,1541,269,0.8254380272550292,0.09938137771260105,0.17456197274497076
topic,baseline,tfidf_char_svm,teencode_colloquial,full,3166,528,0.8332280480101074,0.048372300396436585,0.1667719519898926
topic,baseline,tfidf_char_svm,typo,changed_only,3074,661,0.7849707221860768,0.09844608489585625,0.21502927781392323
topic,baseline,tfidf_char_svm,typo,full,3166,683,0.7842703727100442,0.09558536480412576,0.21572962728995582
topic,baseline,tfidf_word_svm,clean,full,3166,448,0.8584965255843335,0.0,0.14150347441566646
topic,baseline,tfidf_word_svm,domain_abbreviation,changed_only,1530,291,0.8098039215686275,0.18670472301151547,0.19019607843137254
topic,baseline,tfidf_word_svm,domain_abbreviation,full,3166,549,0.826595072646873,0.09022685603525542,0.17340492735312696
topic,baseline,tfidf_word_svm,elongation,changed_only,3164,507,0.8397597977243995,0.10192765319080022,0.16024020227560054
topic,baseline,tfidf_word_svm,elongation,full,3166,508,0.8395451674036639,0.10186326427532909,0.16045483259633608
topic,baseline,tfidf_word_svm,mixed_noise,changed_only,3135,628,0.7996810207336523,0.21093174113371335,0.20031897926634767
topic,baseline,tfidf_word_svm,mixed_noise,full,3166,635,0.7994314592545799,0.2088663955951331,0.20056854074542008
topic,baseline,tfidf_word_svm,no_accent,changed_only,3162,2121,0.32922201138519924,0.7592230860280245,0.6707779886148008
topic,baseline,tfidf_word_svm,no_accent,full,3166,2122,0.3297536323436513,0.7582638654518677,0.6702463676563487
topic,baseline,tfidf_word_svm,teencode_colloquial,changed_only,1541,220,0.8572355613238157,0.09938137771260105,0.14276443867618427
topic,baseline,tfidf_word_svm,teencode_colloquial,full,3166,443,0.8600758054327227,0.048372300396436585,0.13992419456727734
topic,baseline,tfidf_word_svm,typo,changed_only,3074,519,0.8311646063760573,0.09844608489585625,0.16883539362394273
topic,baseline,tfidf_word_svm,typo,full,3166,541,0.8291219204042957,0.09558536480412576,0.17087807959570434
topic,phobert,phobert_base,clean,full,3166,319,0.8992419456727733,0.0,0.10075805432722673
topic,phobert,phobert_base,domain_abbreviation,changed_only,1530,288,0.8117647058823529,0.18670472301151547,0.18823529411764706
topic,phobert,phobert_base,domain_abbreviation,full,3166,470,0.8515476942514214,0.09022685603525542,0.1484523057485786
topic,phobert,phobert_base,elongation,changed_only,3164,360,0.8862199747155499,0.10192765319080022,0.11378002528445008
topic,phobert,phobert_base,elongation,full,3166,360,0.8862918509159823,0.10186326427532909,0.11370814908401772
topic,phobert,phobert_base,mixed_noise,changed_only,3135,549,0.8248803827751197,0.21093174113371335,0.17511961722488034
topic,phobert,phobert_base,mixed_noise,full,3166,556,0.8243840808591283,0.2088663955951331,0.1756159191408717
topic,phobert,phobert_base,no_accent,changed_only,3162,1671,0.4715370018975332,0.7592230860280245,0.5284629981024668
topic,phobert,phobert_base,no_accent,full,3166,1672,0.4718888186986734,0.7582638654518677,0.5281111813013266
topic,phobert,phobert_base,teencode_colloquial,changed_only,1541,159,0.8968202465931213,0.09938137771260105,0.10317975340687868
topic,phobert,phobert_base,teencode_colloquial,full,3166,328,0.8963992419456728,0.048372300396436585,0.10360075805432722
topic,phobert,phobert_base,typo,changed_only,3074,399,0.8702016916070267,0.09844608489585625,0.12979830839297335
topic,phobert,phobert_base,typo,full,3166,416,0.868603916614024,0.09558536480412576,0.13139608338597597
