task,true_label,model_type,model_name,noise_type,evaluation_scope,num_errors
sentiment,neutral,phobert,phobert_base,no_accent,changed_only,45
sentiment,neutral,phobert,phobert_base,no_accent,full,45
sentiment,neutral,baseline,tfidf_word_svm,domain_abbreviation,changed_only,42
sentiment,neutral,baseline,tfidf_word_svm,teencode_colloquial,changed_only,39
sentiment,neutral,baseline,tfidf_char_svm,teencode_colloquial,changed_only,35
sentiment,neutral,baseline,tfidf_char_svm,domain_abbreviation,changed_only,34
sentiment,neutral,phobert,phobert_base,teencode_colloquial,changed_only,30
sentiment,neutral,phobert,phobert_base,domain_abbreviation,changed_only,21
topic,facility,baseline,tfidf_word_svm,no_accent,changed_only,131
topic,facility,baseline,tfidf_word_svm,no_accent,full,131
topic,facility,phobert,phobert_base,no_accent,changed_only,131
topic,facility,phobert,phobert_base,no_accent,full,131
topic,facility,baseline,tfidf_char_svm,no_accent,changed_only,124
topic,facility,baseline,tfidf_char_svm,no_accent,full,124
topic,facility,baseline,tfidf_char_svm,mixed_noise,changed_only,28
topic,facility,baseline,tfidf_char_svm,mixed_noise,full,28
topic,facility,baseline,tfidf_char_svm,domain_abbreviation,full,24
topic,facility,phobert,phobert_base,mixed_noise,changed_only,24
topic,facility,phobert,phobert_base,mixed_noise,full,24
topic,facility,baseline,tfidf_word_svm,mixed_noise,changed_only,23
topic,facility,baseline,tfidf_word_svm,mixed_noise,full,23
topic,facility,baseline,tfidf_char_svm,typo,changed_only,22
topic,facility,baseline,tfidf_char_svm,typo,full,22
topic,facility,phobert,phobert_base,domain_abbreviation,full,22
topic,facility,baseline,tfidf_word_svm,typo,changed_only,20
topic,facility,baseline,tfidf_word_svm,typo,full,20
topic,facility,baseline,tfidf_char_svm,domain_abbreviation,changed_only,18
topic,facility,baseline,tfidf_word_svm,domain_abbreviation,full,18
topic,facility,baseline,tfidf_word_svm,elongation,changed_only,16
topic,facility,baseline,tfidf_word_svm,elongation,full,16
topic,facility,phobert,phobert_base,domain_abbreviation,changed_only,15
topic,facility,baseline,tfidf_word_svm,domain_abbreviation,changed_only,13
topic,facility,baseline,tfidf_char_svm,clean,full,12
topic,facility,baseline,tfidf_char_svm,elongation,changed_only,12
topic,facility,baseline,tfidf_char_svm,elongation,full,12
topic,facility,baseline,tfidf_char_svm,teencode_colloquial,full,12
topic,facility,baseline,tfidf_word_svm,clean,full,11
topic,facility,baseline,tfidf_word_svm,teencode_colloquial,full,11
topic,facility,phobert,phobert_base,clean,full,10
topic,facility,phobert,phobert_base,elongation,changed_only,10
topic,facility,phobert,phobert_base,elongation,full,10
topic,facility,phobert,phobert_base,typo,changed_only,10
topic,facility,phobert,phobert_base,typo,full,10
topic,facility,baseline,tfidf_char_svm,teencode_colloquial,changed_only,9
topic,facility,phobert,phobert_base,teencode_colloquial,full,9
topic,facility,baseline,tfidf_word_svm,teencode_colloquial,changed_only,6
topic,facility,phobert,phobert_base,teencode_colloquial,changed_only,3
topic,others,baseline,tfidf_word_svm,teencode_colloquial,full,93
topic,others,baseline,tfidf_word_svm,clean,full,91
topic,others,baseline,tfidf_word_svm,elongation,full,90
topic,others,baseline,tfidf_word_svm,elongation,changed_only,89
topic,others,phobert,phobert_base,elongation,changed_only,89
topic,others,phobert,phobert_base,elongation,full,89
topic,others,phobert,phobert_base,teencode_colloquial,full,89
topic,others,baseline,tfidf_word_svm,typo,full,88
topic,others,baseline,tfidf_word_svm,domain_abbreviation,full,87
topic,others,phobert,phobert_base,typo,full,85
topic,others,baseline,tfidf_word_svm,mixed_noise,full,84
topic,others,phobert,phobert_base,clean,full,83
topic,others,phobert,phobert_base,domain_abbreviation,full,82
topic,others,phobert,phobert_base,mixed_noise,full,81
topic,others,baseline,tfidf_word_svm,mixed_noise,changed_only,79
topic,others,phobert,phobert_base,mixed_noise,changed_only,77
topic,others,baseline,tfidf_char_svm,no_accent,changed_only,76
topic,others,baseline,tfidf_char_svm,no_accent,full,76
topic,others,baseline,tfidf_char_svm,typo,full,76
topic,others,baseline,tfidf_char_svm,teencode_colloquial,full,75
topic,others,phobert,phobert_base,typo,changed_only,75
topic,others,baseline,tfidf_char_svm,clean,full,74
topic,others,baseline,tfidf_char_svm,elongation,full,73
topic,others,baseline,tfidf_word_svm,typo,changed_only,73
topic,others,baseline,tfidf_char_svm,domain_abbreviation,full,72
topic,others,baseline,tfidf_char_svm,elongation,changed_only,72
topic,others,baseline,tfidf_char_svm,mixed_noise,full,72
topic,others,baseline,tfidf_char_svm,mixed_noise,changed_only,68
topic,others,baseline,tfidf_char_svm,typo,changed_only,65
topic,others,phobert,phobert_base,no_accent,changed_only,57
topic,others,phobert,phobert_base,no_accent,full,57
topic,others,baseline,tfidf_word_svm,no_accent,changed_only,52
topic,others,baseline,tfidf_word_svm,no_accent,full,52
topic,others,phobert,phobert_base,teencode_colloquial,changed_only,38
topic,others,baseline,tfidf_word_svm,teencode_colloquial,changed_only,35
topic,others,baseline,tfidf_char_svm,teencode_colloquial,changed_only,26
topic,others,phobert,phobert_base,domain_abbreviation,changed_only,23
topic,others,baseline,tfidf_char_svm,domain_abbreviation,changed_only,20
topic,others,baseline,tfidf_word_svm,domain_abbreviation,changed_only,19
